Date,Open,High,Low,Close,Adj Close,Volume
2001-08-28,27.35,28.0,27.35,28.0,28.0,990
2001-08-29,27.5,27.5,27.5,27.5,27.5,100
2001-08-30,27.5,27.5,27.5,27.5,27.5,100
2001-08-31,27.05,28.0,27.05,28.0,28.0,300
2001-09-12,27.05,27.05,26.5,26.5,26.5,100
2001-09-17,25.5,25.5,24.5,24.5,24.5,1100
2001-09-21,25.25,25.25,25.25,25.25,25.25,100
2001-09-25,26.0,26.0,25.1,25.25,25.25,700
2001-09-27,25.6,25.6,25.6,25.6,25.6,100
2001-09-28,26.0,26.0,26.0,26.0,26.0,100
2001-10-01,26.0,26.0,25.1,25.1,25.1,300
2001-10-03,25.5,25.7,25.5,25.65,25.65,450
2001-10-04,26.0,26.0,26.0,26.0,26.0,200
2001-10-05,26.3,27.0,26.15,27.0,27.0,1300
2001-10-09,25.7,25.7,25.7,25.7,25.7,10
2001-10-11,27.0,27.0,27.0,27.0,27.0,100
2001-10-12,27.0,27.0,27.0,27.0,27.0,350
2001-10-15,27.0,27.5,27.0,27.45,27.45,1000
2001-10-17,27.0,27.0,26.9,27.0,27.0,1500
2001-10-22,27.0,27.3,27.0,27.25,27.25,1300
2001-10-24,26.5,26.75,26.5,26.75,26.75,200
2001-10-25,29.9,30.0,29.9,30.0,30.0,150
2001-10-31,29.4,29.4,29.4,29.4,29.4,100
2001-11-07,31.0,31.0,31.0,31.0,31.0,100
2001-11-09,29.1,29.1,29.05,29.05,29.05,200
2001-11-12,30.0,30.0,30.0,30.0,30.0,200
2001-11-15,31.95,33.0,31.95,32.0,32.0,350
2001-11-19,30.0,32.5,29.0,32.5,32.5,605
2001-11-20,33.25,33.25,33.25,33.25,33.25,100
2001-11-21,34.95,35.5,34.5,35.05,35.05,850
2001-11-22,35.0,35.5,34.5,34.5,34.5,450
2001-11-23,34.25,34.9,34.25,34.9,34.9,303
2001-11-26,35.25,36.0,34.65,34.9,34.9,700
2001-11-27,37.0,37.0,34.7,34.7,34.7,160
2001-11-28,34.0,35.5,34.0,35.5,35.5,710
2001-11-29,35.9,35.9,35.9,35.9,35.9,50
2001-12-03,35.0,35.5,35.0,35.5,35.5,500
2001-12-04,33.35,36.0,33.35,35.55,35.55,701
2001-12-05,35.5,35.7,35.5,35.7,35.7,510
2001-12-06,35.5,35.65,35.5,35.65,35.65,500
2001-12-07,34.25,35.5,34.25,34.55,34.55,1300
2001-12-10,34.5,34.5,34.5,34.5,34.5,100
2001-12-11,35.2,35.5,34.6,35.05,35.05,500
2001-12-12,34.2,35.25,34.1,34.75,34.75,2325
2001-12-13,34.5,36.6,34.5,34.6,34.6,500
2001-12-18,35.5,35.5,35.5,35.5,35.5,50
2001-12-19,35.5,36.0,35.5,36.0,36.0,27
2001-12-20,34.0,34.1,34.0,34.1,34.1,300
2001-12-21,34.25,34.25,33.1,33.1,33.1,450
2001-12-24,33.0,34.9,33.0,34.9,34.9,201
2001-12-26,34.9,34.9,34.9,34.9,34.9,3
2001-12-27,31.8,33.9,31.8,33.05,33.05,1679
2001-12-31,33.95,34.0,33.55,33.55,33.55,900
2002-01-01,33.6,34.0,33.0,34.0,34.0,500
2002-01-02,34.85,34.85,33.85,34.2,34.2,1448
2002-01-03,35.0,35.0,34.05,34.5,34.5,600
2002-01-07,34.05,35.0,34.05,34.25,34.25,145
2002-01-08,34.05,34.5,34.0,34.0,34.0,800
2002-01-09,34.25,35.95,34.25,34.75,34.75,1303
2002-01-10,35.4,35.5,34.25,34.4,34.4,1050
2002-01-11,34.35,34.75,34.35,34.35,34.35,675
2002-01-14,35.1,36.35,34.2,34.2,34.2,2888
2002-01-15,35.5,36.75,35.5,36.0,36.0,950
2002-01-16,38.75,38.9,36.0,38.65,38.65,19969
2002-01-17,39.05,41.6,38.25,39.0,39.0,6938
2002-01-18,38.5,40.85,38.5,38.95,38.95,5697
2002-01-21,38.25,39.1,37.5,38.7,38.7,1270
2002-01-22,38.75,39.0,38.0,38.2,38.2,3580
2002-01-23,38.75,41.25,38.75,40.45,40.45,6500
2002-01-24,41.2,41.7,39.2,40.55,40.55,5719
2002-01-25,39.1,40.8,39.1,39.5,39.5,2225
2002-01-28,40.3,40.3,39.55,40.0,40.0,2195
2002-01-29,39.55,40.0,39.55,39.8,39.8,1750
2002-01-30,39.0,40.9,39.0,40.4,40.4,3200
2002-01-31,40.65,40.7,40.3,40.35,40.35,1130
2002-02-01,38.55,40.45,38.55,40.45,40.45,2905
2002-02-04,40.05,40.5,40.0,40.45,40.45,900
2002-02-05,39.3,40.5,38.0,39.5,39.5,5865
2002-02-06,40.0,40.1,40.0,40.05,40.05,1151
2002-02-07,39.8,40.65,39.75,40.5,40.5,2550
2002-02-08,40.0,40.95,40.0,40.95,40.95,1375
2002-02-11,48.25,48.25,40.55,41.45,41.45,2200
2002-02-12,41.5,43.5,41.5,43.1,43.1,6650
2002-02-13,43.05,45.95,43.05,44.9,44.9,7955
2002-02-14,44.85,46.65,44.05,46.5,46.5,2829
2002-02-15,48.9,49.0,46.5,47.95,47.95,4725
2002-02-18,49.2,56.95,49.2,54.7,54.7,17494
2002-02-19,55.0,57.0,50.1,50.95,50.95,16304
2002-02-20,51.5,51.5,46.9,46.95,46.95,10431
2002-02-21,49.85,50.55,48.05,49.6,49.6,4197
2002-02-22,49.6,50.0,48.0,48.3,48.3,2650
2002-02-25,46.7,48.0,46.1,47.65,47.65,1150
2002-02-26,48.0,48.0,46.0,46.55,46.55,3600
2002-02-27,46.5,47.05,45.5,47.05,47.05,4093
2002-02-28,40.0,49.95,40.0,44.25,44.25,9100
2002-03-01,46.0,47.4,44.55,46.8,46.8,3474
2002-03-04,45.0,49.9,44.1,47.8,47.8,2628
2002-03-05,48.0,49.0,47.25,48.5,48.5,2857
2002-03-06,47.5,48.3,47.25,48.15,48.15,4625
2002-03-07,48.75,48.9,47.5,47.5,47.5,2025
2002-03-08,47.0,48.0,47.0,47.5,47.5,1700
2002-03-11,47.0,47.5,47.0,47.15,47.15,3125
2002-03-12,49.0,56.6,48.75,53.4,53.4,23924
2002-03-13,52.0,53.0,48.0,49.0,49.0,5731
2002-03-14,50.0,50.9,49.1,50.1,50.1,1395
2002-03-15,51.0,52.45,50.25,52.45,52.45,5275
2002-03-18,52.5,53.7,50.5,51.1,51.1,8085
2002-03-19,50.5,51.0,48.75,49.0,49.0,955
2002-03-20,48.65,50.0,48.2,49.5,49.5,2850
2002-03-21,47.75,48.9,47.0,48.0,48.0,2025
2002-03-22,47.1,48.75,47.0,47.4,47.4,1850
2002-03-26,45.3,47.45,45.25,47.05,47.05,2932
2002-03-27,46.5,46.5,46.5,46.5,46.5,6
2002-03-28,45.05,48.2,45.05,48.15,48.15,1880
2002-04-01,47.05,47.25,47.0,47.25,47.25,1000
2002-04-02,47.8,47.95,45.6,47.05,47.05,1760
2002-04-03,47.95,47.95,45.55,47.1,47.1,620
2002-04-04,45.3,52.5,45.25,48.5,48.5,6350
2002-04-05,49.35,49.35,48.25,48.55,48.55,2163
2002-04-08,48.05,49.5,47.0,47.5,47.5,4751
2002-04-09,48.5,48.5,47.5,48.0,48.0,601
2002-04-10,47.55,48.85,47.55,48.25,48.25,1600
2002-04-11,48.25,48.5,46.0,47.05,47.05,1700
2002-04-12,48.9,48.9,46.0,47.5,47.5,2455
2002-04-15,47.5,48.8,47.5,48.75,48.75,2890
2002-04-16,48.05,48.05,47.5,47.5,47.5,1288
2002-04-17,48.0,48.4,48.0,48.15,48.15,785
2002-04-18,48.6,49.0,48.05,48.5,48.5,1701
2002-04-19,48.9,48.9,47.5,47.5,47.5,250
2002-04-22,47.0,48.25,46.05,48.0,48.0,1750
2002-04-23,48.05,48.75,48.0,48.0,48.0,2625
2002-04-24,48.25,48.5,48.0,48.5,48.5,2071
2002-04-25,48.1,49.0,48.1,48.6,48.6,2850
2002-04-26,48.1,48.9,48.05,48.45,48.45,700
2002-04-29,48.5,55.4,48.5,51.9,51.9,8999
2002-04-30,52.5,53.75,52.0,53.2,53.2,8545
2002-05-02,45.0,63.85,42.6,62.8,62.8,47456
2002-05-03,65.7,65.7,60.65,62.1,62.1,30491
2002-05-06,60.05,73.8,60.05,72.65,72.65,66309
